# Global sample schedule for Project 3 (MONSTER size)
# ORIGIN DEST FLIGHT_NUMBER DEPART ARRIVE ECONOMY BUSINESS FIRST
SYD AMS FW1181 05:00 12:17 368 920 1472
SYD AMS FW1182 09:00 16:17 368 920 1472
SYD AMS FW1183 13:00 20:17 368 920 1472
JFK DEL FW1184 05:00 14:42 441 1102 1764
JFK DEL FW1185 09:00 18:42 441 1102 1764
JFK DEL FW1186 13:00 22:42 441 1102 1764
DOH JNB FW1187 05:00 12:00 360 900 1440
DOH JNB FW1188 09:00 16:00 360 900 1440
DOH JNB FW1189 13:00 20:00 360 900 1440
FRA AKL FW1190 05:00 13:40 410 1025 1640
FRA AKL FW1191 09:00 17:40 410 1025 1640
FRA AKL FW1192 13:00 21:40 410 1025 1640
HKG NBO FW1193 05:00 13:44 412 1030 1648
HKG NBO FW1194 09:00 17:44 412 1030 1648
HKG NBO FW1195 13:00 21:44 412 1030 1648
SIN EZE FW1196 05:00 13:54 417 1042 1668
SIN EZE FW1197 09:00 17:54 417 1042 1668
SIN EZE FW1198 13:00 21:54 417 1042 1668
LHR EZE FW1199 05:00 12:28 374 935 1496
LHR EZE FW1200 09:00 16:28 374 935 1496
LHR EZE FW1201 13:00 20:28 374 935 1496
AMS SFO FW1202 05:00 10:07 303 757 1212
AMS SFO FW1203 09:00 14:07 303 757 1212
AMS SFO FW1204 13:00 18:07 303 757 1212
AMS SFO FW1205 17:00 22:07 303 757 1212
BOM SFO FW1206 05:00 14:25 432 1080 1728
BOM SFO FW1207 09:00 18:25 432 1080 1728
BOM SFO FW1208 13:00 22:25 432 1080 1728
MNL DOH FW1209 05:00 10:55 327 817 1308
MNL DOH FW1210 09:00 14:55 327 817 1308
MNL DOH FW1211 13:00 18:55 327 817 1308
MNL DOH FW1212 17:00 22:55 327 817 1308
BKK DOH FW1213 05:00 11:37 348 870 1392
BKK DOH FW1214 09:00 15:37 348 870 1392
BKK DOH FW1215 13:00 19:37 348 870 1392
BKK DOH FW1216 17:00 23:37 348 870 1392
MEL FRA FW1217 05:00 14:47 443 1107 1772
MEL FRA FW1218 09:00 18:47 443 1107 1772
MEL FRA FW1219 13:00 22:47 443 1107 1772
CPH ICN FW1220 05:00 13:51 415 1037 1660
CPH ICN FW1221 09:00 17:51 415 1037 1660
CPH ICN FW1222 13:00 21:51 415 1037 1660
SFO MNL FW1223 05:00 14:12 426 1065 1704
SFO MNL FW1224 09:00 18:12 426 1065 1704
SFO MNL FW1225 13:00 22:12 426 1065 1704
DEL LAX FW1226 05:00 13:31 405 1012 1620
DEL LAX FW1227 09:00 17:31 405 1012 1620
DEL LAX FW1228 13:00 21:31 405 1012 1620
ICN SYD FW1229 05:00 10:19 309 772 1236
ICN SYD FW1230 09:00 14:19 309 772 1236
ICN SYD FW1231 13:00 18:19 309 772 1236
ICN SYD FW1232 17:00 22:19 309 772 1236
KUL HKG FW1233 05:00 07:33 226 565 904
KUL HKG FW1234 09:00 11:33 226 565 904
KUL HKG FW1235 13:00 15:33 226 565 904
KUL HKG FW1236 17:00 19:33 226 565 904
MEL DXB FW1237 05:00 12:34 377 942 1508
MEL DXB FW1238 09:00 16:34 377 942 1508
MEL DXB FW1239 13:00 20:34 377 942 1508
SEA JFK FW1240 05:00 06:54 207 517 828
SEA JFK FW1241 09:00 10:54 207 517 828
SEA JFK FW1242 17:00 18:54 207 517 828
CPT LAX FW1243 05:00 12:54 387 967 1548
CPT LAX FW1244 09:00 16:54 387 967 1548
CPT LAX FW1245 13:00 20:54 387 967 1548
AMS SCL FW1246 05:00 13:01 390 975 1560
AMS SCL FW1247 09:00 17:01 390 975 1560
AMS SCL FW1248 13:00 21:01 390 975 1560
BOM SCL FW1249 05:00 12:09 364 910 1456
BOM SCL FW1250 09:00 16:09 364 910 1456
BOM SCL FW1251 13:00 20:09 364 910 1456
CPH LHR FW1252 05:00 07:01 210 525 840
CPH LHR FW1253 09:00 11:01 210 525 840
CPH LHR FW1254 13:00 15:01 210 525 840
CPH LHR FW1255 17:00 19:01 210 525 840
LAX CAI FW1256 05:00 12:53 386 965 1544
LAX CAI FW1257 09:00 16:53 386 965 1544
LAX CAI FW1258 13:00 20:53 386 965 1544
CAI EZE FW1259 05:00 12:18 369 922 1476
CAI EZE FW1260 09:00 16:18 369 922 1476
CAI EZE FW1261 13:00 20:18 369 922 1476
DEL MEX FW1262 05:00 13:43 411 1027 1644
DEL MEX FW1263 09:00 17:43 411 1027 1644
DEL MEX FW1264 13:00 21:43 411 1027 1644
AKL GRU FW1265 05:00 12:06 363 907 1452
AKL GRU FW1266 09:00 16:06 363 907 1452
AKL GRU FW1267 13:00 20:06 363 907 1452
DXB EZE FW1268 05:00 12:02 361 902 1444
DXB EZE FW1269 09:00 16:02 361 902 1444
DXB EZE FW1270 13:00 20:02 361 902 1444
NBO AMS FW1271 05:00 10:52 326 815 1304
NBO AMS FW1272 09:00 14:52 326 815 1304
NBO AMS FW1273 17:00 22:52 326 815 1304
IST HKG FW1274 05:00 14:47 443 1107 1772
IST HKG FW1275 09:00 18:47 443 1107 1772
IST HKG FW1276 13:00 22:47 443 1107 1772
MEL SEA FW1277 05:00 13:22 401 1002 1604
MEL SEA FW1278 09:00 17:22 401 1002 1604
MEL SEA FW1279 13:00 21:22 401 1002 1604
HKG LAX FW1280 05:00 14:20 430 1075 1720
HKG LAX FW1281 09:00 18:20 430 1075 1720
HKG LAX FW1282 13:00 22:20 430 1075 1720
EZE LHR FW1283 05:00 12:07 363 907 1452
EZE LHR FW1284 09:00 16:07 363 907 1452
EZE LHR FW1285 13:00 20:07 363 907 1452
AMS MEX FW1286 05:00 10:05 302 755 1208
AMS MEX FW1287 09:00 14:05 302 755 1208
AMS MEX FW1288 13:00 18:05 302 755 1208
AMS MEX FW1289 17:00 22:05 302 755 1208
BKK BCN FW1290 05:00 13:03 391 977 1564
BKK BCN FW1291 09:00 17:03 391 977 1564
BKK BCN FW1292 13:00 21:03 391 977 1564
ORD DXB FW1293 05:00 13:51 415 1037 1660
ORD DXB FW1294 09:00 17:51 415 1037 1660
ORD DXB FW1295 13:00 21:51 415 1037 1660
JNB ORD FW1296 05:00 14:58 449 1122 1796
JNB ORD FW1297 09:00 18:58 449 1122 1796
JNB ORD FW1298 13:00 22:58 449 1122 1796
JFK CDG FW1299 05:00 10:37 318 795 1272
JFK CDG FW1300 09:00 14:37 318 795 1272
JFK CDG FW1301 13:00 18:37 318 795 1272
JFK CDG FW1302 17:00 22:37 318 795 1272
JFK FRA FW1303 05:00 11:58 359 897 1436
JFK FRA FW1304 09:00 15:58 359 897 1436
JFK FRA FW1305 13:00 19:58 359 897 1436
JFK FRA FW1306 17:00 23:58 359 897 1436
CAI AMS FW1307 05:00 10:23 311 777 1244
CAI AMS FW1308 09:00 14:23 311 777 1244
CAI AMS FW1309 13:00 18:23 311 777 1244
CAI AMS FW1310 17:00 22:23 311 777 1244
SEA EZE FW1311 05:00 10:38 319 797 1276
SEA EZE FW1312 09:00 14:38 319 797 1276
SEA EZE FW1313 13:00 18:38 319 797 1276
SEA EZE FW1314 17:00 22:38 319 797 1276
GRU DXB FW1315 05:00 12:28 374 935 1496
GRU DXB FW1316 09:00 16:28 374 935 1496
GRU DXB FW1317 13:00 20:28 374 935 1496
BOM CPT FW1318 05:00 13:12 396 990 1584
BOM CPT FW1319 09:00 17:12 396 990 1584
BOM CPT FW1320 13:00 21:12 396 990 1584
YYZ SIN FW1321 05:00 14:51 445 1112 1780
YYZ SIN FW1322 09:00 18:51 445 1112 1780
YYZ SIN FW1323 13:00 22:51 445 1112 1780
CDG MNL FW1324 05:00 14:44 442 1105 1768
CDG MNL FW1325 09:00 18:44 442 1105 1768
CDG MNL FW1326 13:00 22:44 442 1105 1768
SCL PEK FW1327 05:00 13:23 401 1002 1604
SCL PEK FW1328 09:00 17:23 401 1002 1604
SCL PEK FW1329 13:00 21:23 401 1002 1604
MAD SYD FW1330 05:00 12:54 387 967 1548
MAD SYD FW1331 09:00 16:54 387 967 1548
MAD SYD FW1332 13:00 20:54 387 967 1548
ICN HKG FW1333 05:00 07:35 227 567 908
ICN HKG FW1334 09:00 11:35 227 567 908
ICN HKG FW1335 13:00 15:35 227 567 908
ICN HKG FW1336 17:00 19:35 227 567 908
MEX CPH FW1337 05:00 10:03 301 752 1204
MEX CPH FW1338 09:00 14:03 301 752 1204
MEX CPH FW1339 13:00 18:03 301 752 1204
MEX CPH FW1340 17:00 22:03 301 752 1204
SCL HKG FW1341 05:00 13:32 406 1015 1624
SCL HKG FW1342 09:00 17:32 406 1015 1624
SCL HKG FW1343 13:00 21:32 406 1015 1624
DOH MEL FW1344 05:00 12:39 379 947 1516
DOH MEL FW1345 09:00 16:39 379 947 1516
DOH MEL FW1346 13:00 20:39 379 947 1516
CPT SIN FW1347 05:00 13:59 419 1047 1676
CPT SIN FW1348 09:00 17:59 419 1047 1676
CPT SIN FW1349 13:00 21:59 419 1047 1676
KUL BOM FW1350 05:00 06:58 209 522 836
KUL BOM FW1351 09:00 10:58 209 522 836
KUL BOM FW1352 13:00 14:58 209 522 836
KUL BOM FW1353 17:00 18:58 209 522 836
SFO MEX FW1354 05:00 07:23 221 552 884
SFO MEX FW1355 09:00 11:23 221 552 884
SFO MEX FW1356 13:00 15:23 221 552 884
SFO MEX FW1357 17:00 19:23 221 552 884
MNL DEL FW1358 05:00 06:58 209 522 836
MNL DEL FW1359 09:00 10:58 209 522 836
MNL DEL FW1360 13:00 14:58 209 522 836
MNL DEL FW1361 17:00 18:58 209 522 836
MAD MNL FW1362 05:00 14:10 425 1062 1700
MAD MNL FW1363 09:00 18:10 425 1062 1700
MAD MNL FW1364 13:00 22:10 425 1062 1700
BOM SIN FW1365 05:00 07:54 237 592 948
BOM SIN FW1366 09:00 11:54 237 592 948
BOM SIN FW1367 13:00 15:54 237 592 948
BOM SIN FW1368 17:00 19:54 237 592 948
YVR FRA FW1369 05:00 11:57 358 895 1432
YVR FRA FW1370 09:00 15:57 358 895 1432
YVR FRA FW1371 13:00 19:57 358 895 1432
YVR FRA FW1372 17:00 23:57 358 895 1432
YVR BCN FW1373 05:00 10:55 327 817 1308
YVR BCN FW1374 09:00 14:55 327 817 1308
YVR BCN FW1375 13:00 18:55 327 817 1308
YVR BCN FW1376 17:00 22:55 327 817 1308
BCN ORD FW1377 05:00 10:50 325 812 1300
BCN ORD FW1378 09:00 14:50 325 812 1300
BCN ORD FW1379 13:00 18:50 325 812 1300
BCN ORD FW1380 17:00 22:50 325 812 1300
AKL MNL FW1381 05:00 11:11 335 837 1340
AKL MNL FW1382 09:00 15:11 335 837 1340
AKL MNL FW1383 13:00 19:11 335 837 1340
AKL MNL FW1384 17:00 23:11 335 837 1340
SFO YYZ FW1385 05:00 06:54 207 517 828
SFO YYZ FW1386 09:00 10:54 207 517 828
SFO YYZ FW1387 13:00 14:54 207 517 828
SFO YYZ FW1388 17:00 18:54 207 517 828
IST MEL FW1389 05:00 13:39 409 1022 1636
IST MEL FW1390 09:00 17:39 409 1022 1636
IST MEL FW1391 13:00 21:39 409 1022 1636
NRT CAI FW1392 05:00 10:09 304 760 1216
NRT CAI FW1393 09:00 14:09 304 760 1216
NRT CAI FW1394 13:00 18:09 304 760 1216
NRT CAI FW1395 17:00 22:09 304 760 1216
SIN CDG FW1396 05:00 14:07 423 1057 1692
SIN CDG FW1397 09:00 18:07 423 1057 1692
SIN CDG FW1398 13:00 22:07 423 1057 1692
ORD DOH FW1399 05:00 12:10 365 912 1460
ORD DOH FW1400 09:00 16:10 365 912 1460
ORD DOH FW1401 13:00 20:10 365 912 1460
PEK MEX FW1402 05:00 13:13 396 990 1584
PEK MEX FW1403 09:00 17:13 396 990 1584
PEK MEX FW1404 13:00 21:13 396 990 1584
MEX IST FW1405 05:00 10:17 308 770 1232
MEX IST FW1406 09:00 14:17 308 770 1232
MEX IST FW1407 13:00 18:17 308 770 1232
MEX IST FW1408 17:00 22:17 308 770 1232
AKL BKK FW1409 05:00 11:00 330 825 1320
AKL BKK FW1410 09:00 15:00 330 825 1320
AKL BKK FW1411 13:00 19:00 330 825 1320
AKL BKK FW1412 17:00 23:00 330 825 1320
IST JFK FW1413 05:00 11:33 346 865 1384
IST JFK FW1414 09:00 15:33 346 865 1384
IST JFK FW1415 13:00 19:33 346 865 1384
IST JFK FW1416 17:00 23:33 346 865 1384
ICN CPT FW1417 05:00 12:27 373 932 1492
ICN CPT FW1418 09:00 16:27 373 932 1492
ICN CPT FW1419 13:00 20:27 373 932 1492
MEX KUL FW1420 05:00 12:32 376 940 1504
MEX KUL FW1421 09:00 16:32 376 940 1504
MEX KUL FW1422 13:00 20:32 376 940 1504
SFO SIN FW1423 05:00 12:31 375 937 1500
SFO SIN FW1424 09:00 16:31 375 937 1500
SFO SIN FW1425 13:00 20:31 375 937 1500
BCN YVR FW1426 05:00 10:58 329 822 1316
BCN YVR FW1427 09:00 14:58 329 822 1316
BCN YVR FW1428 13:00 18:58 329 822 1316
BCN YVR FW1429 17:00 22:58 329 822 1316
NBO YYZ FW1430 05:00 13:30 405 1012 1620
NBO YYZ FW1431 09:00 17:30 405 1012 1620
NBO YYZ FW1432 13:00 21:30 405 1012 1620
HKG PEK FW1433 05:00 07:40 230 575 920
HKG PEK FW1434 09:00 11:40 230 575 920
HKG PEK FW1435 13:00 15:40 230 575 920
HKG PEK FW1436 17:00 19:40 230 575 920
SEA LHR FW1437 05:00 11:18 339 847 1356
SEA LHR FW1438 09:00 15:18 339 847 1356
SEA LHR FW1439 13:00 19:18 339 847 1356
SEA LHR FW1440 17:00 23:18 339 847 1356
CPH DOH FW1441 05:00 10:02 301 752 1204
CPH DOH FW1442 09:00 14:02 301 752 1204
CPH DOH FW1443 13:00 18:02 301 752 1204
CPH DOH FW1444 17:00 22:02 301 752 1204
ICN BOM FW1445 05:00 07:26 223 557 892
ICN BOM FW1446 09:00 11:26 223 557 892
ICN BOM FW1447 13:00 15:26 223 557 892
ICN BOM FW1448 17:00 19:26 223 557 892
DEL KUL FW1449 05:00 07:36 228 570 912
DEL KUL FW1450 09:00 11:36 228 570 912
DEL KUL FW1451 13:00 15:36 228 570 912
DEL KUL FW1452 17:00 19:36 228 570 912
SFO CPH FW1453 05:00 10:45 322 805 1288
SFO CPH FW1454 09:00 14:45 322 805 1288
SFO CPH FW1455 13:00 18:45 322 805 1288
SFO CPH FW1456 17:00 22:45 322 805 1288
SIN YVR FW1457 05:00 13:13 396 990 1584
SIN YVR FW1458 09:00 17:13 396 990 1584
SIN YVR FW1459 13:00 21:13 396 990 1584
SCL MEL FW1460 05:00 13:32 406 1015 1624
SCL MEL FW1461 09:00 17:32 406 1015 1624
SCL MEL FW1462 13:00 21:32 406 1015 1624
DXB FRA FW1463 05:00 10:27 313 782 1252
DXB FRA FW1464 09:00 14:27 313 782 1252
DXB FRA FW1465 13:00 18:27 313 782 1252
DXB FRA FW1466 17:00 22:27 313 782 1252
FRA GRU FW1467 05:00 13:39 409 1022 1636
FRA GRU FW1468 09:00 17:39 409 1022 1636
FRA GRU FW1469 13:00 21:39 409 1022 1636
MNL CAI FW1470 05:00 11:59 359 897 1436
MNL CAI FW1471 09:00 15:59 359 897 1436
MNL CAI FW1472 13:00 19:59 359 897 1436
MNL CAI FW1473 17:00 23:59 359 897 1436
DXB BCN FW1474 05:00 10:06 303 757 1212
DXB BCN FW1475 09:00 14:06 303 757 1212
DXB BCN FW1476 13:00 18:06 303 757 1212
DXB BCN FW1477 17:00 22:06 303 757 1212
SCL ICN FW1478 05:00 12:27 373 932 1492
SCL ICN FW1479 09:00 16:27 373 932 1492
SCL ICN FW1480 13:00 20:27 373 932 1492
CDG YYZ FW1481 05:00 11:05 332 830 1328
CDG YYZ FW1482 09:00 15:05 332 830 1328
CDG YYZ FW1483 13:00 19:05 332 830 1328
CDG YYZ FW1484 17:00 23:05 332 830 1328
SIN DEL FW1485 05:00 06:42 201 502 804
SIN DEL FW1486 09:00 10:42 201 502 804
SIN DEL FW1487 13:00 14:42 201 502 804
SIN DEL FW1488 17:00 18:42 201 502 804
BKK SCL FW1489 05:00 14:31 435 1087 1740
BKK SCL FW1490 09:00 18:31 435 1087 1740
BKK SCL FW1491 13:00 22:31 435 1087 1740
SCL LHR FW1492 05:00 14:50 445 1112 1780
SCL LHR FW1493 09:00 18:50 445 1112 1780
SCL LHR FW1494 13:00 22:50 445 1112 1780
HKG IST FW1495 05:00 13:23 401 1002 1604
HKG IST FW1496 09:00 17:23 401 1002 1604
HKG IST FW1497 13:00 21:23 401 1002 1604
BKK LAX FW1498 05:00 12:21 370 925 1480
BKK LAX FW1499 09:00 16:21 370 925 1480
BKK LAX FW1500 13:00 20:21 370 925 1480
SYD CAI FW1501 05:00 14:51 445 1112 1780
SYD CAI FW1502 09:00 18:51 445 1112 1780
SYD CAI FW1503 13:00 22:51 445 1112 1780
ICN CPH FW1504 05:00 12:52 386 965 1544
ICN CPH FW1505 09:00 16:52 386 965 1544
ICN CPH FW1506 13:00 20:52 386 965 1544
JFK SCL FW1507 05:00 10:49 324 810 1296
JFK SCL FW1508 09:00 14:49 324 810 1296
JFK SCL FW1509 13:00 18:49 324 810 1296
JFK SCL FW1510 17:00 22:49 324 810 1296
GRU CDG FW1511 05:00 12:46 383 957 1532
GRU CDG FW1512 09:00 16:46 383 957 1532
GRU CDG FW1513 13:00 20:46 383 957 1532
LAX MEX FW1514 05:00 07:23 221 552 884
LAX MEX FW1515 09:00 11:23 221 552 884
LAX MEX FW1516 13:00 15:23 221 552 884
LAX MEX FW1517 17:00 19:23 221 552 884
IST DXB FW1518 05:00 10:16 308 770 1232
IST DXB FW1519 09:00 14:16 308 770 1232
IST DXB FW1520 13:00 18:16 308 770 1232
IST DXB FW1521 17:00 22:16 308 770 1232
DOH AMS FW1522 05:00 11:52 356 890 1424
DOH AMS FW1523 09:00 15:52 356 890 1424
DOH AMS FW1524 13:00 19:52 356 890 1424
DOH AMS FW1525 17:00 23:52 356 890 1424
ORD YYZ FW1526 05:00 07:30 225 562 900
ORD YYZ FW1527 09:00 11:30 225 562 900
ORD YYZ FW1528 13:00 15:30 225 562 900
ORD YYZ FW1529 17:00 19:30 225 562 900
DXB SEA FW1530 05:00 12:35 377 942 1508
DXB SEA FW1531 09:00 16:35 377 942 1508
DXB SEA FW1532 13:00 20:35 377 942 1508
HKG AMS FW1533 05:00 12:01 360 900 1440
HKG AMS FW1534 09:00 16:01 360 900 1440
HKG AMS FW1535 13:00 20:01 360 900 1440
YVR SFO FW1536 05:00 06:50 205 512 820
YVR SFO FW1537 09:00 10:50 205 512 820
YVR SFO FW1538 13:00 14:50 205 512 820
YVR SFO FW1539 17:00 18:50 205 512 820
EZE CAI FW1540 05:00 12:22 371 927 1484
EZE CAI FW1541 09:00 16:22 371 927 1484
EZE CAI FW1542 13:00 20:22 371 927 1484
MEX DOH FW1543 05:00 13:24 402 1005 1608
MEX DOH FW1544 09:00 17:24 402 1005 1608
MEX DOH FW1545 13:00 21:24 402 1005 1608
GRU YYZ FW1546 05:00 10:04 302 755 1208
GRU YYZ FW1547 09:00 14:04 302 755 1208
GRU YYZ FW1548 13:00 18:04 302 755 1208
GRU YYZ FW1549 17:00 22:04 302 755 1208
NRT NBO FW1550 05:00 12:25 372 930 1488
NRT NBO FW1551 09:00 16:25 372 930 1488
NRT NBO FW1552 13:00 20:25 372 930 1488
ORD SYD FW1553 05:00 12:37 378 945 1512
ORD SYD FW1554 09:00 16:37 378 945 1512
ORD SYD FW1555 13:00 20:37 378 945 1512
ICN MAD FW1556 05:00 12:56 388 970 1552
ICN MAD FW1557 09:00 16:56 388 970 1552
ICN MAD FW1558 13:00 20:56 388 970 1552
NBO BKK FW1559 05:00 13:57 418 1045 1672
NBO BKK FW1560 09:00 17:57 418 1045 1672
NBO BKK FW1561 13:00 21:57 418 1045 1672
AMS AKL FW1562 05:00 13:50 415 1037 1660
AMS AKL FW1563 09:00 17:50 415 1037 1660
AMS AKL FW1564 13:00 21:50 415 1037 1660
CPH YYZ FW1565 05:00 11:59 359 897 1436
CPH YYZ FW1566 09:00 15:59 359 897 1436
CPH YYZ FW1567 13:00 19:59 359 897 1436
CPH YYZ FW1568 17:00 23:59 359 897 1436
JNB NRT FW1569 05:00 12:51 385 962 1540
JNB NRT FW1570 09:00 16:51 385 962 1540
JNB NRT FW1571 13:00 20:51 385 962 1540
KUL AKL FW1572 05:00 11:24 342 855 1368
KUL AKL FW1573 09:00 15:24 342 855 1368
KUL AKL FW1574 13:00 19:24 342 855 1368
KUL AKL FW1575 17:00 23:24 342 855 1368
AMS DOH FW1576 05:00 10:51 325 812 1300
AMS DOH FW1577 09:00 14:51 325 812 1300
AMS DOH FW1578 13:00 18:51 325 812 1300
AMS DOH FW1579 17:00 22:51 325 812 1300
NRT SFO FW1580 05:00 12:15 367 917 1468
NRT SFO FW1581 09:00 16:15 367 917 1468
NRT SFO FW1582 13:00 20:15 367 917 1468
CDG BKK FW1583 05:00 12:14 367 917 1468
CDG BKK FW1584 09:00 16:14 367 917 1468
CDG BKK FW1585 13:00 20:14 367 917 1468
BCN GRU FW1586 05:00 12:38 379 947 1516
BCN GRU FW1587 09:00 16:38 379 947 1516
BCN GRU FW1588 13:00 20:38 379 947 1516
KUL LHR FW1589 05:00 12:29 374 935 1496
KUL LHR FW1590 09:00 16:29 374 935 1496
KUL LHR FW1591 13:00 20:29 374 935 1496
CDG SFO FW1592 05:00 10:59 329 822 1316
CDG SFO FW1593 09:00 14:59 329 822 1316
CDG SFO FW1594 13:00 18:59 329 822 1316
CDG SFO FW1595 17:00 22:59 329 822 1316
MAD CPH FW1596 05:00 07:59 239 597 956
MAD CPH FW1597 09:00 11:59 239 597 956
MAD CPH FW1598 13:00 15:59 239 597 956
MAD CPH FW1599 17:00 19:59 239 597 956
SIN SCL FW1600 05:00 12:23 371 927 1484
SIN SCL FW1601 09:00 16:23 371 927 1484
SIN SCL FW1602 13:00 20:23 371 927 1484
LHR LAX FW1603 05:00 10:17 308 770 1232
LHR LAX FW1604 09:00 14:17 308 770 1232
LHR LAX FW1605 13:00 18:17 308 770 1232
LHR LAX FW1606 17:00 22:17 308 770 1232
CPH MNL FW1607 05:00 14:51 445 1112 1780
CPH MNL FW1608 09:00 18:51 445 1112 1780
CPH MNL FW1609 13:00 22:51 445 1112 1780
CPT ORD FW1610 05:00 12:10 365 912 1460
CPT ORD FW1611 09:00 16:10 365 912 1460
CPT ORD FW1612 13:00 20:10 365 912 1460
MAD PEK FW1613 05:00 13:31 405 1012 1620
MAD PEK FW1614 09:00 17:31 405 1012 1620
MAD PEK FW1615 13:00 21:31 405 1012 1620
MEL KUL FW1616 05:00 10:56 328 820 1312
MEL KUL FW1617 09:00 14:56 328 820 1312
MEL KUL FW1618 13:00 18:56 328 820 1312
MEL KUL FW1619 17:00 22:56 328 820 1312
